"id_filial";"descricao_filial";"pedido_nulo";"total";"status_6";"status_8";"carrinho"
b229b0ab-c39e-4d4a-abc1-af69f19927cd;Supermercado Mateus Marambaia;157;157;0;0;157
b2493756-ea06-44aa-a12d-7fd6448bd291;Mix Santa Rita;594;961;299;28;593
b2d0f550-85f6-46d0-ae6a-8793348eaccb;Eletro Mateus Medicilândia;28;37;5;0;28
b347f0f1-f07c-47c6-8374-5ec30e10ff98;Loja Virtual João Paulo;1;1;0;0;1
b4af8266-c165-4269-85e8-56a343e48771;Eletro Mateus Mario Covas;387;440;35;0;387
b4bd8146-56f3-43d5-9961-964e45693718;Mix Mateus Olho D'água;9714;15024;4539;269;9709
b627695e-3067-4cc7-ad68-89cd9e409f2f;Eletro Mateus Tutóia;219;263;21;5;219
b6886110-18e9-4e68-8a01-b0e8072b2b28;Mix Codó;1401;1726;227;33;1401
b6a4b911-7719-44ee-ba20-22331398e908;Eletro Mateus Jacundá;45;49;4;0;45
b6df21ef-230d-49fd-897b-f87b167553a9;Mix Mateus Marituba;180;180;0;0;180
b6fa8a95-553b-4a28-819d-2d6f9506eb86;Eletro Mateus Feirinha do Bacuri;315;387;56;2;315
b71b9848-7430-4176-a6a7-6c71c97b9f12;Eletro Mateus Super Turu;1411;1747;254;25;1411
b749a737-a0e9-4b17-87b2-3c7ca88300b6;Mix Mateus Sobral;12713;19334;5823;237;12708
b7fcbaa3-4b28-4052-b4ae-bd973b101b73;Eletro Santa Rita;407;480;47;15;406
b8a5ee06-b7f7-4e89-b98b-c171b5d6b2b1;Eletro Mateus Curionópolis;17;26;8;0;17
b95f45bf-2649-4f95-86fe-d3c39fd25325;Eletro Mateus Ceasa;499;551;35;5;499
